date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
26/08/2025,mis_rep,15.3,0,-90,1,0,2010,479,2.93
26/08/2025,mis_rep,15.3,1,120,1,0,2009,591,0.5
26/08/2025,mis_rep,15.3,2,-150,1,0,2002,578,2.08
26/08/2025,mis_rep,15.3,3,0,1,0,2002,565,-1.74
26/08/2025,mis_rep,15.3,4,-90,1,0,2010,539,3.08
26/08/2025,mis_rep,15.3,5,30,1,0,2001,516,-1.12
26/08/2025,mis_rep,15.3,6,90,1,0,2006,503,-0.08
26/08/2025,mis_rep,15.3,7,-120,1,0,2006,597,2.67
26/08/2025,mis_rep,15.3,8,150,1,0,2003,542,0.91
26/08/2025,mis_rep,15.3,9,90,1,0,2002,592,-0.09
26/08/2025,mis_rep,15.3,10,150,1,0,2006,559,0.93
26/08/2025,mis_rep,15.3,11,-30,1,0,2010,522,-2.2
26/08/2025,mis_rep,15.3,12,-60,1,0,2001,501,-2.34
26/08/2025,mis_rep,15.3,13,90,1,0,2011,485,0.05
26/08/2025,mis_rep,15.3,14,30,1,0,2007,476,-0.93
26/08/2025,mis_rep,15.3,15,60,1,0,2004,507,-0.63
26/08/2025,mis_rep,15.3,16,-30,1,0,2003,483,-2.18
26/08/2025,mis_rep,15.3,17,-120,1,0,2003,524,2.55
26/08/2025,mis_rep,15.3,18,-60,1,0,2009,493,-2.6
26/08/2025,mis_rep,15.3,19,120,1,0,2012,591,0.6
26/08/2025,mis_rep,15.3,20,-90,1,0,2004,481,-3.12
26/08/2025,mis_rep,15.3,21,0,1,0,2006,487,-1.55
26/08/2025,mis_rep,15.3,22,-120,1,0,2004,490,2.63
26/08/2025,mis_rep,15.3,23,120,1,0,2001,473,0.46
26/08/2025,mis_rep,15.3,24,60,1,0,2001,468,-0.57
26/08/2025,mis_rep,15.3,25,30,1,0,2006,536,-0.9
26/08/2025,mis_rep,15.3,26,150,1,0,2008,453,0.84
26/08/2025,mis_rep,15.3,27,-150,1,0,2010,553,2.14
26/08/2025,mis_rep,15.3,28,0,1,0,2010,487,-1.62
26/08/2025,mis_rep,15.3,29,-60,1,0,2008,503,-2.57
26/08/2025,mis_rep,15.3,30,60,1,0,2005,490,-0.55
26/08/2025,mis_rep,15.3,31,-30,1,0,2004,633,-2.25
26/08/2025,mis_rep,15.3,32,-150,1,0,2003,511,2.02
26/08/2025,mis_rep,15.3,33,60,1,0,2010,434,-0.58
26/08/2025,mis_rep,15.3,34,60,1,0,2009,659,-0.71
26/08/2025,mis_rep,15.3,35,150,1,0,2008,518,0.93
26/08/2025,mis_rep,15.3,36,-90,1,0,2001,515,3.06
26/08/2025,mis_rep,15.3,37,0,1,0,2004,576,-1.54
26/08/2025,mis_rep,15.3,38,-90,1,0,2009,557,3.06
26/08/2025,mis_rep,15.3,39,150,1,0,2007,504,1.15
26/08/2025,mis_rep,15.3,40,-150,1,0,2010,496,2.05
26/08/2025,mis_rep,15.3,41,-120,1,0,2009,604,2.58
26/08/2025,mis_rep,15.3,42,150,1,0,2009,512,1
26/08/2025,mis_rep,15.3,43,150,1,0,2008,521,0.87
26/08/2025,mis_rep,15.3,44,-60,1,0,2005,511,-2.51
26/08/2025,mis_rep,15.3,45,30,1,0,2005,578,-0.98
26/08/2025,mis_rep,15.3,46,60,1,0,2010,469,-0.78
26/08/2025,mis_rep,15.3,47,-60,1,0,2005,473,-2.75
26/08/2025,mis_rep,15.3,48,90,1,0,2006,486,0.01
26/08/2025,mis_rep,15.3,49,0,1,0,2008,481,-1.82
26/08/2025,mis_rep,15.3,50,30,1,0,2005,597,-0.87
26/08/2025,mis_rep,15.3,51,-60,1,0,2006,500,-2.54
26/08/2025,mis_rep,15.3,52,60,1,0,2002,490,-0.6
26/08/2025,mis_rep,15.3,53,90,1,0,2003,487,0.05
26/08/2025,mis_rep,15.3,54,0,1,0,2004,508,-1.67
26/08/2025,mis_rep,15.3,55,60,1,0,2004,475,-0.55
26/08/2025,mis_rep,15.3,56,-120,1,0,2006,576,2.51
26/08/2025,mis_rep,15.3,57,90,1,0,2003,599,-0.03
26/08/2025,mis_rep,15.3,58,60,1,0,2002,640,-0.64
26/08/2025,mis_rep,15.3,59,-60,1,0,2009,548,-2.72
26/08/2025,mis_rep,15.3,60,60,1,0,2003,552,-0.65
26/08/2025,mis_rep,15.3,61,-60,1,0,2011,506,-2.82
26/08/2025,mis_rep,15.3,62,-120,1,0,2003,634,2.5
26/08/2025,mis_rep,15.3,63,120,1,0,2003,533,0.65
