date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-09-01,mis_rep,21.3,0,-150.0,1.0,0.0,2008,451,2.23
2025-09-01,mis_rep,21.3,1,150.0,1.0,0.0,2008,505,0.85
2025-09-01,mis_rep,21.3,2,60.0,1.0,0.0,2009,477,-0.56
2025-09-01,mis_rep,21.3,3,-120.0,1.0,0.0,2006,476,2.41
2025-09-01,mis_rep,21.3,4,120.0,1.0,0.0,2005,444,0.54
2025-09-01,mis_rep,21.3,5,-30.0,1.0,0.0,2003,477,-2.02
2025-09-01,mis_rep,21.3,6,30.0,1.0,0.0,2008,451,-1.04
2025-09-01,mis_rep,21.3,7,120.0,1.0,0.0,2008,504,0.61
2025-09-01,mis_rep,21.3,8,-150.0,1.0,0.0,2006,423,2.17
2025-09-01,mis_rep,21.3,9,-30.0,1.0,0.0,2007,505,-2.18
2025-09-01,mis_rep,21.3,10,-60.0,1.0,0.0,2001,484,-2.67
2025-09-01,mis_rep,21.3,11,60.0,1.0,0.0,2002,482,-0.7
2025-09-01,mis_rep,21.3,12,0.0,1.0,0.0,2010,463,-1.61
2025-09-01,mis_rep,21.3,13,-90.0,1.0,0.0,2006,549,-3.13
2025-09-01,mis_rep,21.3,14,120.0,1.0,0.0,2001,481,0.63
2025-09-01,mis_rep,21.3,15,-150.0,1.0,0.0,2001,455,2.08
2025-09-01,mis_rep,21.3,16,-90.0,1.0,0.0,2010,457,3.01
2025-09-01,mis_rep,21.3,17,90.0,1.0,0.0,2009,478,0.15
2025-09-01,mis_rep,21.3,18,30.0,1.0,0.0,2007,481,-1.11
2025-09-01,mis_rep,21.3,19,0.0,1.0,0.0,2008,459,-1.57
2025-09-01,mis_rep,21.3,20,-120.0,1.0,0.0,2007,483,2.46
2025-09-01,mis_rep,21.3,21,150.0,1.0,0.0,2010,501,0.84
2025-09-01,mis_rep,21.3,22,-60.0,1.0,0.0,2002,498,-2.68
2025-09-01,mis_rep,21.3,23,30.0,1.0,0.0,2003,444,-1.03
2025-09-01,mis_rep,21.3,24,0.0,1.0,0.0,2010,454,-1.62
2025-09-01,mis_rep,21.3,25,90.0,1.0,0.0,2008,438,0.09
2025-09-01,mis_rep,21.3,26,90.0,1.0,0.0,2008,491,-0.13
2025-09-01,mis_rep,21.3,27,-30.0,1.0,0.0,2005,498,-2.13
2025-09-01,mis_rep,21.3,28,60.0,1.0,0.0,2011,451,-0.52
2025-09-01,mis_rep,21.3,29,-90.0,1.0,0.0,2005,471,3.1
2025-09-01,mis_rep,21.3,30,150.0,1.0,0.0,2008,513,0.88
2025-09-01,mis_rep,21.3,31,-120.0,1.0,0.0,2005,481,2.57
2025-09-01,mis_rep,21.3,32,-60.0,1.0,0.0,2005,556,-2.73
2025-09-01,mis_rep,21.3,33,-90.0,1.0,0.0,2010,443,2.97
2025-09-01,mis_rep,21.3,34,30.0,1.0,0.0,2003,442,-0.92
2025-09-01,mis_rep,21.3,35,-120.0,1.0,0.0,2009,471,2.57
2025-09-01,mis_rep,21.3,36,60.0,1.0,0.0,2010,487,-0.52
2025-09-01,mis_rep,21.3,37,0.0,1.0,0.0,2005,504,-1.66
2025-09-01,mis_rep,21.3,38,-30.0,1.0,0.0,2002,487,-2.13
2025-09-01,mis_rep,21.3,39,-30.0,1.0,0.0,2002,474,-2.17
2025-09-01,mis_rep,21.3,40,-30.0,1.0,0.0,2010,565,-2.03
2025-09-01,mis_rep,21.3,41,150.0,1.0,0.0,2004,615,1.17
2025-09-01,mis_rep,21.3,42,-90.0,1.0,0.0,2001,510,2.92
2025-09-01,mis_rep,21.3,43,30.0,1.0,0.0,2006,477,-0.91
2025-09-01,mis_rep,21.3,44,-60.0,1.0,0.0,2010,482,-2.59
2025-09-01,mis_rep,21.3,45,-90.0,1.0,0.0,2004,538,3.1
2025-09-01,mis_rep,21.3,46,0.0,1.0,0.0,2009,508,-1.59
2025-09-01,mis_rep,21.3,47,-60.0,1.0,0.0,2007,480,-2.79
2025-09-01,mis_rep,21.3,48,30.0,1.0,0.0,2009,466,-1.09
2025-09-01,mis_rep,21.3,49,-30.0,1.0,0.0,2006,521,-2.17
2025-09-01,mis_rep,21.3,50,-60.0,1.0,0.0,2006,472,-2.63
2025-09-01,mis_rep,21.3,51,30.0,1.0,0.0,2010,470,-0.99
2025-09-01,mis_rep,21.3,52,-30.0,1.0,0.0,2007,460,-2.21
2025-09-01,mis_rep,21.3,53,30.0,1.0,0.0,2001,488,-1.03
2025-09-01,mis_rep,21.3,54,-60.0,1.0,0.0,2003,560,-2.58
2025-09-01,mis_rep,21.3,55,-60.0,1.0,0.0,2004,504,-2.75
2025-09-01,mis_rep,21.3,56,-120.0,1.0,0.0,2008,469,2.49
2025-09-01,mis_rep,21.3,57,30.0,1.0,0.0,2010,471,-1.0
2025-09-01,mis_rep,21.3,58,-150.0,1.0,0.0,2007,471,2.02
2025-09-01,mis_rep,21.3,59,30.0,1.0,0.0,2009,532,-1.02
2025-09-01,mis_rep,21.3,60,30.0,1.0,0.0,2010,412,-1.07
2025-09-01,mis_rep,21.3,61,-30.0,1.0,0.0,2002,555,-2.07
2025-09-01,mis_rep,21.3,62,60.0,1.0,0.0,2006,429,-0.52
2025-09-01,mis_rep,21.3,63,-90.0,1.0,0.0,2002,509,-3.09
2025-09-01,mis_rep,21.3,64,60.0,1.0,0.0,2008,560,-0.52
2025-09-01,mis_rep,21.3,65,-90.0,1.0,0.0,2003,475,-3.1
2025-09-01,mis_rep,21.3,66,120.0,1.0,0.0,2004,492,0.57
2025-09-01,mis_rep,21.3,67,-90.0,1.0,0.0,2006,534,-3.11
2025-09-01,mis_rep,21.3,68,-150.0,1.0,0.0,2005,459,2.04
2025-09-01,mis_rep,21.3,69,-150.0,1.0,0.0,2001,487,2.19
2025-09-01,mis_rep,21.3,70,-60.0,1.0,0.0,2002,517,-2.69
2025-09-01,mis_rep,21.3,71,-60.0,1.0,0.0,2008,462,-2.69
2025-09-01,mis_rep,21.3,72,150.0,1.0,0.0,2002,510,1.03
2025-09-01,mis_rep,21.3,73,-120.0,1.0,0.0,2006,469,2.52
2025-09-01,mis_rep,21.3,74,0.0,1.0,0.0,2011,426,-1.43
2025-09-01,mis_rep,21.3,75,60.0,1.0,0.0,2007,417,-0.6
2025-09-01,mis_rep,21.3,76,-60.0,1.0,0.0,2003,486,-2.56
2025-09-01,mis_rep,21.3,77,0.0,1.0,0.0,2009,463,-1.54
2025-09-01,mis_rep,21.3,78,30.0,1.0,0.0,2010,449,-1.11
2025-09-01,mis_rep,21.3,79,120.0,1.0,0.0,2003,522,0.55
2025-09-01,mis_rep,21.3,80,150.0,1.0,0.0,2009,516,0.93
2025-09-01,mis_rep,21.3,81,-60.0,1.0,0.0,2006,513,-2.68
2025-09-01,mis_rep,21.3,82,-30.0,1.0,0.0,2008,446,-2.38
2025-09-01,mis_rep,21.3,83,-150.0,1.0,0.0,2002,469,2.12
2025-09-01,mis_rep,21.3,84,150.0,1.0,0.0,2008,557,1.03
2025-09-01,mis_rep,21.3,85,120.0,1.0,0.0,2006,451,0.39
2025-09-01,mis_rep,21.3,86,-120.0,1.0,0.0,2003,442,2.44
2025-09-01,mis_rep,21.3,87,120.0,1.0,0.0,2010,460,0.57
2025-09-01,mis_rep,21.3,88,150.0,1.0,0.0,2003,489,0.9
2025-09-01,mis_rep,21.3,89,-60.0,1.0,0.0,2006,512,-2.77
2025-09-01,mis_rep,21.3,90,-90.0,1.0,0.0,2001,401,3.06
2025-09-01,mis_rep,21.3,91,60.0,1.0,0.0,2008,438,-0.41
2025-09-01,mis_rep,21.3,92,0.0,1.0,0.0,2001,449,-1.6
2025-09-01,mis_rep,21.3,93,150.0,1.0,0.0,2004,454,1.01
2025-09-01,mis_rep,21.3,94,-90.0,1.0,0.0,2006,493,3.09
2025-09-01,mis_rep,21.3,95,-30.0,1.0,0.0,2010,491,-2.22
2025-09-01,mis_rep,21.3,96,60.0,1.0,0.0,2009,437,-0.53
2025-09-01,mis_rep,21.3,97,-60.0,1.0,0.0,2001,563,-2.84
2025-09-01,mis_rep,21.3,98,0.0,1.0,0.0,2006,429,-1.61
2025-09-01,mis_rep,21.3,99,-150.0,1.0,0.0,2005,455,2.04
2025-09-01,mis_rep,21.3,100,-120.0,1.0,0.0,2005,437,2.49
2025-09-01,mis_rep,21.3,101,-90.0,1.0,0.0,2007,459,-3.13
2025-09-01,mis_rep,21.3,102,-30.0,1.0,0.0,2006,457,-2.2
2025-09-01,mis_rep,21.3,103,60.0,1.0,0.0,2002,391,-0.44
2025-09-01,mis_rep,21.3,104,150.0,1.0,0.0,2001,514,1.1
2025-09-01,mis_rep,21.3,105,-90.0,1.0,0.0,2009,528,-3.07
2025-09-01,mis_rep,21.3,106,150.0,1.0,0.0,2007,542,1.07
2025-09-01,mis_rep,21.3,107,-90.0,1.0,0.0,2010,476,-3.09
2025-09-01,mis_rep,21.3,108,90.0,1.0,0.0,2002,588,-0.03
2025-09-01,mis_rep,21.3,109,90.0,1.0,0.0,2001,409,-0.08
2025-09-01,mis_rep,21.3,110,150.0,1.0,0.0,2005,454,0.93
2025-09-01,mis_rep,21.3,111,-150.0,1.0,0.0,2005,442,2.09
2025-09-01,mis_rep,21.3,112,-150.0,1.0,0.0,2008,478,2.15
2025-09-01,mis_rep,21.3,113,120.0,1.0,0.0,2008,542,0.49
2025-09-01,mis_rep,21.3,114,0.0,1.0,0.0,2001,523,-1.59
2025-09-01,mis_rep,21.3,115,-120.0,1.0,0.0,2011,495,2.52
2025-09-01,mis_rep,21.3,116,-150.0,1.0,0.0,2005,595,2.14
2025-09-01,mis_rep,21.3,117,0.0,1.0,0.0,2001,446,-1.51
2025-09-01,mis_rep,21.3,118,-150.0,1.0,0.0,2001,478,2.06
2025-09-01,mis_rep,21.3,119,-120.0,1.0,0.0,2009,463,2.47
2025-09-01,mis_rep,21.3,120,-90.0,1.0,0.0,2005,496,-3.13
2025-09-01,mis_rep,21.3,121,90.0,1.0,0.0,2003,583,0.07
2025-09-01,mis_rep,21.3,122,-30.0,1.0,0.0,2006,509,-2.2
2025-09-01,mis_rep,21.3,123,-30.0,1.0,0.0,2002,437,-2.1
2025-09-01,mis_rep,21.3,124,-60.0,1.0,0.0,2006,495,-2.66
2025-09-01,mis_rep,21.3,125,-30.0,1.0,0.0,2004,503,-2.16
2025-09-01,mis_rep,21.3,126,30.0,1.0,0.0,2007,465,-1.02
2025-09-01,mis_rep,21.3,127,-60.0,1.0,0.0,2004,444,-2.72
2025-09-01,mis_rep,21.3,128,30.0,1.0,0.0,2004,454,-1.29
2025-09-01,mis_rep,21.3,129,90.0,1.0,0.0,2008,502,-0.08
2025-09-01,mis_rep,21.3,130,0.0,1.0,0.0,2006,451,-1.62
2025-09-01,mis_rep,21.3,131,120.0,1.0,0.0,2005,510,0.53
2025-09-01,mis_rep,21.3,132,0.0,1.0,0.0,2003,509,-1.62
2025-09-01,mis_rep,21.3,133,-150.0,1.0,0.0,2008,485,2.08
2025-09-01,mis_rep,21.3,134,-60.0,1.0,0.0,2007,524,-2.65
2025-09-01,mis_rep,21.3,135,90.0,1.0,0.0,2007,468,-0.08
2025-09-01,mis_rep,21.3,136,150.0,1.0,0.0,2010,948,1.22
2025-09-01,mis_rep,21.3,137,-30.0,1.0,0.0,2009,524,-2.09
2025-09-01,mis_rep,21.3,138,120.0,1.0,0.0,2008,520,0.56
2025-09-01,mis_rep,21.3,139,-120.0,1.0,0.0,2009,495,2.43
2025-09-01,mis_rep,21.3,140,90.0,1.0,0.0,2003,485,-0.14
2025-09-01,mis_rep,21.3,141,-30.0,1.0,0.0,2005,498,-2.13
2025-09-01,mis_rep,21.3,142,-150.0,1.0,0.0,2008,525,2.03
2025-09-01,mis_rep,21.3,143,-150.0,1.0,0.0,2005,475,2.1
2025-09-01,mis_rep,21.3,144,90.0,1.0,0.0,2007,485,-0.18
2025-09-01,mis_rep,21.3,145,-150.0,1.0,0.0,2005,440,2.18
2025-09-01,mis_rep,21.3,146,30.0,1.0,0.0,2001,404,-1.1
2025-09-01,mis_rep,21.3,147,60.0,1.0,0.0,2005,444,-0.57
2025-09-01,mis_rep,21.3,148,150.0,1.0,0.0,2009,505,1.06
2025-09-01,mis_rep,21.3,149,-30.0,1.0,0.0,2004,527,-2.18
2025-09-01,mis_rep,21.3,150,-150.0,1.0,0.0,2009,481,1.98
2025-09-01,mis_rep,21.3,151,30.0,1.0,0.0,2006,502,-1.16
2025-09-01,mis_rep,21.3,152,-60.0,1.0,0.0,2007,468,-2.64
2025-09-01,mis_rep,21.3,153,60.0,1.0,0.0,2002,486,-0.51
2025-09-01,mis_rep,21.3,154,-150.0,1.0,0.0,2003,453,2.1
2025-09-01,mis_rep,21.3,155,-120.0,1.0,0.0,2001,472,2.46
