date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
26/08/2025,mis_rep,17,0,-150,1,0,2006,25699,2.24
26/08/2025,mis_rep,17,1,-120,1,0,2009,940,2.59
26/08/2025,mis_rep,17,2,120,1,0,2008,703,0.38
26/08/2025,mis_rep,17,3,90,1,0,2008,474,-0.06
26/08/2025,mis_rep,17,4,0,1,0,2004,431,-1.6
26/08/2025,mis_rep,17,5,-30,1,0,2003,474,-2.17
26/08/2025,mis_rep,17,6,-90,1,0,2001,470,-3.1
26/08/2025,mis_rep,17,7,-60,1,0,2002,371,-2.7
26/08/2025,mis_rep,17,8,60,1,0,2009,412,-0.5
26/08/2025,mis_rep,17,9,-90,1,0,2003,466,3.12
26/08/2025,mis_rep,17,10,-60,1,0,2005,433,-2.62
26/08/2025,mis_rep,17,11,150,1,0,2006,425,0.85
26/08/2025,mis_rep,17,12,90,1,0,2007,433,-0.07
26/08/2025,mis_rep,17,13,60,1,0,2001,498,-0.43
26/08/2025,mis_rep,17,14,30,1,0,2010,418,-0.89
26/08/2025,mis_rep,17,15,-120,1,0,2001,420,2.58
26/08/2025,mis_rep,17,16,-120,1,0,2003,421,2.53
26/08/2025,mis_rep,17,17,150,1,0,2009,474,0.93
26/08/2025,mis_rep,17,18,-150,1,0,2004,388,2.37
26/08/2025,mis_rep,17,19,0,1,0,2009,464,-1.51
26/08/2025,mis_rep,17,20,120,1,0,2008,412,0.79
26/08/2025,mis_rep,17,21,-30,1,0,2001,484,-2.15
26/08/2025,mis_rep,17,22,30,1,0,2005,497,-1.15
26/08/2025,mis_rep,17,23,30,1,0,2003,455,-1.13
26/08/2025,mis_rep,17,24,150,1,0,2003,468,0.83
26/08/2025,mis_rep,17,25,90,1,0,2006,423,0.06
26/08/2025,mis_rep,17,26,120,1,0,2001,500,0.5
26/08/2025,mis_rep,17,27,-30,1,0,2011,506,-2.3
26/08/2025,mis_rep,17,28,-60,1,0,2006,485,-2.51
26/08/2025,mis_rep,17,29,-150,1,0,2006,476,2.25
26/08/2025,mis_rep,17,30,-90,1,0,2004,477,-3.07
26/08/2025,mis_rep,17,31,0,1,0,2002,543,-1.6
26/08/2025,mis_rep,17,32,60,1,0,2005,443,-0.54
26/08/2025,mis_rep,17,33,-120,1,0,2007,743,2.59
26/08/2025,mis_rep,17,34,60,1,0,2002,477,-0.48
26/08/2025,mis_rep,17,35,-120,1,0,2008,557,2.56
26/08/2025,mis_rep,17,36,-90,1,0,2008,495,3.14
26/08/2025,mis_rep,17,37,-60,1,0,2012,611,-2.54
26/08/2025,mis_rep,17,38,150,1,0,2009,505,0.92
26/08/2025,mis_rep,17,39,90,1,0,2008,446,-0.18
26/08/2025,mis_rep,17,40,-30,1,0,2007,524,-2.09
26/08/2025,mis_rep,17,41,-120,1,0,2011,463,2.53
26/08/2025,mis_rep,17,42,0,1,0,2005,483,-1.69
26/08/2025,mis_rep,17,43,90,1,0,2009,452,-0.25
26/08/2025,mis_rep,17,44,150,1,0,2008,461,0.94
26/08/2025,mis_rep,17,45,60,1,0,2008,447,-0.56
26/08/2025,mis_rep,17,46,60,1,0,2012,645,-0.44
26/08/2025,mis_rep,17,47,-60,1,0,2010,465,-2.83
26/08/2025,mis_rep,17,48,-90,1,0,2001,477,-3.1
26/08/2025,mis_rep,17,49,-30,1,0,2001,560,-2.16
26/08/2025,mis_rep,17,50,-120,1,0,2010,479,2.49
26/08/2025,mis_rep,17,51,0,1,0,2002,515,-1.55
26/08/2025,mis_rep,17,52,90,1,0,2003,404,-0.04
26/08/2025,mis_rep,17,53,-150,1,0,2002,409,2.35
26/08/2025,mis_rep,17,54,0,1,0,2008,488,-1.73
26/08/2025,mis_rep,17,55,90,1,0,2001,434,0.16
26/08/2025,mis_rep,17,56,90,1,0,2002,498,0.08
26/08/2025,mis_rep,17,57,150,1,0,2012,426,0.93
26/08/2025,mis_rep,17,58,120,1,0,2010,441,0.88
26/08/2025,mis_rep,17,59,-90,1,0,2005,558,-3.1
26/08/2025,mis_rep,17,60,-60,1,0,2001,476,-2.64
