date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2/09/2025,mis_rep,17.2,0,-150,1,0,2002,710,2.05
2/09/2025,mis_rep,17.2,1,90,1,0,2010,493,-0.04
2/09/2025,mis_rep,17.2,2,-30,1,0,2010,444,-2.13
2/09/2025,mis_rep,17.2,3,-60,1,0,2010,420,-2.58
2/09/2025,mis_rep,17.2,4,-120,1,0,2006,411,2.54
2/09/2025,mis_rep,17.2,5,-150,1,0,2007,443,2.07
2/09/2025,mis_rep,17.2,6,-120,1,0,2011,411,2.58
2/09/2025,mis_rep,17.2,7,0,1,0,2008,463,-1.63
2/09/2025,mis_rep,17.2,8,150,1,0,2008,448,0.9
2/09/2025,mis_rep,17.2,9,-150,1,0,2013,401,2.09
2/09/2025,mis_rep,17.2,10,0,1,0,2002,503,-1.55
2/09/2025,mis_rep,17.2,11,150,1,0,2002,443,1.09
2/09/2025,mis_rep,17.2,12,-60,1,0,2007,433,-2.67
2/09/2025,mis_rep,17.2,13,120,1,0,2006,431,0.57
2/09/2025,mis_rep,17.2,14,-30,1,0,2004,450,-1.92
2/09/2025,mis_rep,17.2,15,0,1,0,2010,445,-1.53
2/09/2025,mis_rep,17.2,16,-60,1,0,2006,465,-2.65
2/09/2025,mis_rep,17.2,17,30,1,0,2003,465,-1.05
2/09/2025,mis_rep,17.2,18,-30,1,0,2010,437,-2.12
2/09/2025,mis_rep,17.2,19,120,1,0,2003,475,0.67
2/09/2025,mis_rep,17.2,20,30,1,0,2002,465,-1.06
2/09/2025,mis_rep,17.2,21,120,1,0,2008,461,0.34
2/09/2025,mis_rep,17.2,22,150,1,0,2007,475,0.92
2/09/2025,mis_rep,17.2,23,-90,1,0,2001,502,-3.1
2/09/2025,mis_rep,17.2,24,-90,1,0,2011,470,3.11
2/09/2025,mis_rep,17.2,25,60,1,0,2009,460,-0.47
2/09/2025,mis_rep,17.2,26,60,1,0,2010,478,-0.54
2/09/2025,mis_rep,17.2,27,-120,1,0,2006,542,2.66
2/09/2025,mis_rep,17.2,28,-90,1,0,2001,519,3.05
2/09/2025,mis_rep,17.2,29,90,1,0,2003,498,-0.09
2/09/2025,mis_rep,17.2,30,30,1,0,2005,484,-1
2/09/2025,mis_rep,17.2,31,90,1,0,2008,483,0.04
2/09/2025,mis_rep,17.2,32,60,1,0,2004,504,-0.49
2/09/2025,mis_rep,17.2,33,120,1,0,2009,513,0.5
2/09/2025,mis_rep,17.2,34,-150,1,0,2007,451,2.13
2/09/2025,mis_rep,17.2,35,30,1,0,2010,493,-1.09
2/09/2025,mis_rep,17.2,36,60,1,0,2003,493,-0.42
2/09/2025,mis_rep,17.2,37,-150,1,0,2006,463,2.15
2/09/2025,mis_rep,17.2,38,-150,1,0,2006,455,2.15
2/09/2025,mis_rep,17.2,39,-30,1,0,2007,493,-2.22
2/09/2025,mis_rep,17.2,40,-60,1,0,2011,505,-2.77
2/09/2025,mis_rep,17.2,41,-60,1,0,2009,463,-2.72
2/09/2025,mis_rep,17.2,42,0,1,0,2011,488,-1.56
2/09/2025,mis_rep,17.2,43,-60,1,0,2010,492,-2.66
2/09/2025,mis_rep,17.2,44,150,1,0,2001,522,1.04
2/09/2025,mis_rep,17.2,45,150,1,0,2003,511,1.02
2/09/2025,mis_rep,17.2,46,90,1,0,2004,503,0.06
2/09/2025,mis_rep,17.2,47,60,1,0,2009,496,-0.62
2/09/2025,mis_rep,17.2,48,-30,1,0,2004,485,-2.2
2/09/2025,mis_rep,17.2,49,-60,1,0,2001,465,-2.72
2/09/2025,mis_rep,17.2,50,-90,1,0,2007,471,3.03
2/09/2025,mis_rep,17.2,51,30,1,0,2008,506,-0.93
2/09/2025,mis_rep,17.2,52,-60,1,0,2008,497,-2.51
2/09/2025,mis_rep,17.2,53,90,1,0,2005,486,0.18
2/09/2025,mis_rep,17.2,54,30,1,0,2008,486,-1.09
2/09/2025,mis_rep,17.2,55,150,1,0,2004,497,1.05
2/09/2025,mis_rep,17.2,56,90,1,0,2010,482,0
2/09/2025,mis_rep,17.2,57,30,1,0,2010,463,-1.15
2/09/2025,mis_rep,17.2,58,-150,1,0,2003,465,2.14
2/09/2025,mis_rep,17.2,59,-30,1,0,2009,496,-2.24
2/09/2025,mis_rep,17.2,60,-150,1,0,2006,474,2.26
2/09/2025,mis_rep,17.2,61,60,1,0,2002,452,-0.59
2/09/2025,mis_rep,17.2,62,0,1,0,2010,484,-1.68
2/09/2025,mis_rep,17.2,63,-120,1,0,2003,450,2.47
2/09/2025,mis_rep,17.2,64,-150,1,0,2010,469,2.1
2/09/2025,mis_rep,17.2,65,-30,1,0,2009,472,-2.18
2/09/2025,mis_rep,17.2,66,-30,1,0,2002,478,-2.18
2/09/2025,mis_rep,17.2,67,150,1,0,2007,460,0.98
2/09/2025,mis_rep,17.2,68,0,1,0,2008,483,-1.85
2/09/2025,mis_rep,17.2,69,0,1,0,2002,464,-1.64
2/09/2025,mis_rep,17.2,70,120,1,0,2011,484,0.69
2/09/2025,mis_rep,17.2,71,30,1,0,2003,483,-1.07
2/09/2025,mis_rep,17.2,72,-90,1,0,2009,504,-3.03
2/09/2025,mis_rep,17.2,73,-150,1,0,2002,464,2.14
2/09/2025,mis_rep,17.2,74,-60,1,0,2006,496,-2.69
2/09/2025,mis_rep,17.2,75,-60,1,0,2003,460,-2.73
2/09/2025,mis_rep,17.2,76,-30,1,0,2003,447,-2.14
2/09/2025,mis_rep,17.2,77,120,1,0,2005,517,0.76
