date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-09-01,mis_rep,19.3,0,0.0,1.0,0.0,2008,798,-1.57
2025-09-01,mis_rep,19.3,1,90.0,1.0,0.0,2005,679,-0.17
2025-09-01,mis_rep,19.3,2,60.0,1.0,0.0,2001,1119,-0.49
2025-09-01,mis_rep,19.3,3,-120.0,1.0,0.0,2007,820,2.51
2025-09-01,mis_rep,19.3,4,150.0,1.0,0.0,2005,645,1.06
2025-09-01,mis_rep,19.3,5,120.0,1.0,0.0,2004,755,0.53
2025-09-01,mis_rep,19.3,6,60.0,1.0,0.0,2010,883,-0.52
2025-09-01,mis_rep,19.3,7,30.0,1.0,0.0,2007,850,-1.04
2025-09-01,mis_rep,19.3,8,120.0,1.0,0.0,2009,898,0.54
2025-09-01,mis_rep,19.3,9,60.0,1.0,0.0,2001,716,-0.6
2025-09-01,mis_rep,19.3,10,0.0,1.0,0.0,2009,708,-1.66
2025-09-01,mis_rep,19.3,11,90.0,1.0,0.0,2004,692,-0.12
2025-09-01,mis_rep,19.3,12,-60.0,1.0,0.0,2008,966,-2.71
2025-09-01,mis_rep,19.3,13,-150.0,1.0,0.0,2002,1215,1.94
2025-09-01,mis_rep,19.3,14,-30.0,1.0,0.0,2001,750,-2.13
2025-09-01,mis_rep,19.3,15,-30.0,1.0,0.0,2006,869,-2.11
2025-09-01,mis_rep,19.3,16,-120.0,1.0,0.0,2001,654,2.52
2025-09-01,mis_rep,19.3,17,30.0,1.0,0.0,2004,1703,-1.03
2025-09-01,mis_rep,19.3,18,-60.0,1.0,0.0,2003,900,-2.68
2025-09-01,mis_rep,19.3,19,120.0,1.0,0.0,2011,846,0.47
2025-09-01,mis_rep,19.3,20,0.0,1.0,0.0,2005,731,-1.55
2025-09-01,mis_rep,19.3,21,-60.0,1.0,0.0,2001,722,-2.7
2025-09-01,mis_rep,19.3,22,-120.0,1.0,0.0,2008,1257,2.55
2025-09-01,mis_rep,19.3,23,-30.0,1.0,0.0,2002,749,-2.01
2025-09-01,mis_rep,19.3,24,-90.0,1.0,0.0,2008,1903,3.03
2025-09-01,mis_rep,19.3,25,90.0,1.0,0.0,2001,763,-0.06
2025-09-01,mis_rep,19.3,26,30.0,1.0,0.0,2003,1000,-1.07
2025-09-01,mis_rep,19.3,27,150.0,1.0,0.0,2007,912,0.99
2025-09-01,mis_rep,19.3,28,-90.0,1.0,0.0,2003,861,2.98
2025-09-01,mis_rep,19.3,29,150.0,1.0,0.0,2002,1507,0.93
2025-09-01,mis_rep,19.3,30,-150.0,1.0,0.0,2008,770,2.21
2025-09-01,mis_rep,19.3,31,-150.0,1.0,0.0,2002,821,2.05
2025-09-01,mis_rep,19.3,32,-90.0,1.0,0.0,2003,2746,3.0
2025-09-01,mis_rep,19.3,33,-120.0,1.0,0.0,2004,1000,2.43
