date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-25,mis_rep,12.3,0,-120.0,1.0,0.0,2011,520,2.75
2025-08-25,mis_rep,12.3,1,-60.0,1.0,0.0,2004,562,-2.65
2025-08-25,mis_rep,12.3,2,90.0,1.0,0.0,2010,533,0.16
2025-08-25,mis_rep,12.3,3,90.0,1.0,0.0,2005,584,-0.07
2025-08-25,mis_rep,12.3,4,90.0,1.0,0.0,2008,445,0.15
2025-08-25,mis_rep,12.3,5,0.0,1.0,0.0,2011,538,-1.58
2025-08-25,mis_rep,12.3,6,-30.0,1.0,0.0,2006,552,-2.24
2025-08-25,mis_rep,12.3,7,-30.0,1.0,0.0,2009,517,-2.0
2025-08-25,mis_rep,12.3,8,-30.0,1.0,0.0,2010,507,-2.29
2025-08-25,mis_rep,12.3,9,150.0,1.0,0.0,2003,633,1.12
2025-08-25,mis_rep,12.3,10,0.0,1.0,0.0,2008,494,-1.62
2025-08-25,mis_rep,12.3,11,-150.0,1.0,0.0,2003,552,2.32
2025-08-25,mis_rep,12.3,12,-150.0,1.0,0.0,2010,525,2.24
2025-08-25,mis_rep,12.3,13,120.0,1.0,0.0,2007,510,0.48
2025-08-25,mis_rep,12.3,14,60.0,1.0,0.0,2009,467,-0.5
2025-08-25,mis_rep,12.3,15,-90.0,1.0,0.0,2002,522,-3.05
2025-08-25,mis_rep,12.3,16,0.0,1.0,0.0,2008,497,-1.44
2025-08-25,mis_rep,12.3,17,-90.0,1.0,0.0,2007,621,-3.12
2025-08-25,mis_rep,12.3,18,60.0,1.0,0.0,2009,477,-0.54
2025-08-25,mis_rep,12.3,19,-60.0,1.0,0.0,2003,507,-2.74
2025-08-25,mis_rep,12.3,20,30.0,1.0,0.0,2003,468,-1.05
2025-08-25,mis_rep,12.3,21,-120.0,1.0,0.0,2009,505,2.73
2025-08-25,mis_rep,12.3,22,150.0,1.0,0.0,2008,549,1.08
2025-08-25,mis_rep,12.3,23,150.0,1.0,0.0,2002,505,1.08
2025-08-25,mis_rep,12.3,24,120.0,1.0,0.0,2010,466,0.51
