date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-25,mis_rep,16.2,0,-120.0,1.0,0.0,2002,472,2.96
2025-08-25,mis_rep,16.2,1,-60.0,1.0,0.0,2005,703,-2.63
2025-08-25,mis_rep,16.2,2,150.0,1.0,0.0,2002,671,1.03
2025-08-25,mis_rep,16.2,3,-150.0,1.0,0.0,2010,609,2.36
2025-08-25,mis_rep,16.2,4,120.0,1.0,0.0,2007,659,0.66
2025-08-25,mis_rep,16.2,5,90.0,1.0,0.0,2002,641,0.01
2025-08-25,mis_rep,16.2,6,-150.0,1.0,0.0,2008,583,2.13
2025-08-25,mis_rep,16.2,7,-120.0,1.0,0.0,2005,611,2.55
2025-08-25,mis_rep,16.2,8,-60.0,1.0,0.0,2006,617,-2.62
2025-08-25,mis_rep,16.2,9,-30.0,1.0,0.0,2008,616,-2.06
2025-08-25,mis_rep,16.2,10,60.0,1.0,0.0,2003,647,-0.47
2025-08-25,mis_rep,16.2,11,90.0,1.0,0.0,2008,613,-0.11
2025-08-25,mis_rep,16.2,12,30.0,1.0,0.0,2006,611,-0.85
2025-08-25,mis_rep,16.2,13,150.0,1.0,0.0,2008,740,1.08
2025-08-25,mis_rep,16.2,14,30.0,1.0,0.0,2006,550,-0.86
2025-08-25,mis_rep,16.2,15,-60.0,1.0,0.0,2001,588,-2.73
2025-08-25,mis_rep,16.2,16,150.0,1.0,0.0,2007,707,0.99
2025-08-25,mis_rep,16.2,17,-30.0,1.0,0.0,2009,577,-2.14
2025-08-25,mis_rep,16.2,18,-90.0,1.0,0.0,2007,641,-3.09
2025-08-25,mis_rep,16.2,19,120.0,1.0,0.0,2002,681,0.64
2025-08-25,mis_rep,16.2,20,30.0,1.0,0.0,2008,565,-1.05
2025-08-25,mis_rep,16.2,21,60.0,1.0,0.0,2005,611,-0.48
2025-08-25,mis_rep,16.2,22,-90.0,1.0,0.0,2009,577,3.08
2025-08-25,mis_rep,16.2,23,-90.0,1.0,0.0,2004,548,-3.06
2025-08-25,mis_rep,16.2,24,0.0,1.0,0.0,2002,611,-1.66
2025-08-25,mis_rep,16.2,25,0.0,1.0,0.0,2007,540,-1.53
2025-08-25,mis_rep,16.2,26,60.0,1.0,0.0,2005,590,-0.5
2025-08-25,mis_rep,16.2,27,90.0,1.0,0.0,2005,606,-0.07
2025-08-25,mis_rep,16.2,28,120.0,1.0,0.0,2007,653,0.63
2025-08-25,mis_rep,16.2,29,0.0,1.0,0.0,2005,601,-1.57
2025-08-25,mis_rep,16.2,30,-120.0,1.0,0.0,2002,619,2.73
2025-08-25,mis_rep,16.2,31,-150.0,1.0,0.0,2002,563,2.18
2025-08-25,mis_rep,16.2,32,-30.0,1.0,0.0,2002,619,-2.02
2025-08-25,mis_rep,16.2,33,-150.0,1.0,0.0,2011,579,2.2
2025-08-25,mis_rep,16.2,34,-30.0,1.0,0.0,2005,633,-2.1
2025-08-25,mis_rep,16.2,35,-30.0,1.0,0.0,2006,691,-2.02
2025-08-25,mis_rep,16.2,36,90.0,1.0,0.0,2006,654,-0.0
2025-08-25,mis_rep,16.2,37,60.0,1.0,0.0,2003,729,-0.46
2025-08-25,mis_rep,16.2,38,120.0,1.0,0.0,2006,752,0.63
2025-08-25,mis_rep,16.2,39,-60.0,1.0,0.0,2005,697,-2.62
2025-08-25,mis_rep,16.2,40,90.0,1.0,0.0,2010,953,0.17
2025-08-25,mis_rep,16.2,41,-30.0,1.0,0.0,2007,776,-2.02
2025-08-25,mis_rep,16.2,42,0.0,1.0,0.0,2001,742,-1.32
2025-08-25,mis_rep,16.2,43,-60.0,1.0,0.0,2004,752,-2.66
2025-08-25,mis_rep,16.2,44,120.0,1.0,0.0,2009,952,0.81
2025-08-25,mis_rep,16.2,45,90.0,1.0,0.0,2006,885,0.16
2025-08-25,mis_rep,16.2,46,-30.0,1.0,0.0,2002,882,-2.05
2025-08-25,mis_rep,16.2,47,60.0,1.0,0.0,2004,792,-0.49
2025-08-25,mis_rep,16.2,48,60.0,1.0,0.0,2003,742,-0.46
2025-08-25,mis_rep,16.2,49,120.0,1.0,0.0,2008,901,0.73
2025-08-25,mis_rep,16.2,50,120.0,1.0,0.0,2010,796,0.66
2025-08-25,mis_rep,16.2,51,-120.0,1.0,0.0,2007,759,2.75
2025-08-25,mis_rep,16.2,52,30.0,1.0,0.0,2009,897,-0.97
2025-08-25,mis_rep,16.2,53,-90.0,1.0,0.0,2008,755,-3.02
2025-08-25,mis_rep,16.2,54,30.0,1.0,0.0,2003,896,-1.01
2025-08-25,mis_rep,16.2,55,30.0,1.0,0.0,2009,929,-0.99
2025-08-25,mis_rep,16.2,56,-60.0,1.0,0.0,2010,815,-2.54
2025-08-25,mis_rep,16.2,57,0.0,1.0,0.0,2008,1001,-1.54
2025-08-25,mis_rep,16.2,58,90.0,1.0,0.0,2010,809,0.14
2025-08-25,mis_rep,16.2,59,30.0,1.0,0.0,2007,700,-0.81
2025-08-25,mis_rep,16.2,60,-60.0,1.0,0.0,2007,670,-2.57
2025-08-25,mis_rep,16.2,61,30.0,1.0,0.0,2007,783,-0.93
2025-08-25,mis_rep,16.2,62,-150.0,1.0,0.0,2009,689,2.38
2025-08-25,mis_rep,16.2,63,30.0,1.0,0.0,2010,836,-1.01
2025-08-25,mis_rep,16.2,64,-120.0,1.0,0.0,2003,676,2.77
2025-08-25,mis_rep,16.2,65,30.0,1.0,0.0,2004,1529,-0.96
2025-08-25,mis_rep,16.2,66,-60.0,1.0,0.0,2001,867,-2.53
2025-08-25,mis_rep,16.2,67,90.0,1.0,0.0,2001,1113,0.01
2025-08-25,mis_rep,16.2,68,120.0,1.0,0.0,2006,805,0.78
2025-08-25,mis_rep,16.2,69,-90.0,1.0,0.0,2003,731,-3.12
