date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-08-25,mis_rep,21.2,0,-30.0,1.0,0.0,2009,474,-2.01
2025-08-25,mis_rep,21.2,1,-60.0,1.0,0.0,2006,1094,-2.64
2025-08-25,mis_rep,21.2,2,-90.0,1.0,0.0,2001,399,-3.02
2025-08-25,mis_rep,21.2,3,0.0,1.0,0.0,2006,440,-1.5
2025-08-25,mis_rep,21.2,4,150.0,1.0,0.0,2003,458,0.95
2025-08-25,mis_rep,21.2,5,120.0,1.0,0.0,2002,824,0.75
2025-08-25,mis_rep,21.2,6,90.0,1.0,0.0,2001,384,0.16
2025-08-25,mis_rep,21.2,7,-30.0,1.0,0.0,2008,476,-2.1
2025-08-25,mis_rep,21.2,8,-150.0,1.0,0.0,2007,364,2.41
2025-08-25,mis_rep,21.2,9,-120.0,1.0,0.0,2003,383,2.72
2025-08-25,mis_rep,21.2,10,-60.0,1.0,0.0,2002,450,-2.52
2025-08-25,mis_rep,21.2,11,-90.0,1.0,0.0,2005,404,-3.1
2025-08-25,mis_rep,21.2,12,-60.0,1.0,0.0,2002,436,-2.66
2025-08-25,mis_rep,21.2,13,-120.0,1.0,0.0,2002,362,2.57
2025-08-25,mis_rep,21.2,14,30.0,1.0,0.0,2008,396,-0.8
2025-08-25,mis_rep,21.2,15,90.0,1.0,0.0,2008,436,0.05
2025-08-25,mis_rep,21.2,16,-120.0,1.0,0.0,2011,393,2.65
2025-08-25,mis_rep,21.2,17,-90.0,1.0,0.0,2002,418,3.11
2025-08-25,mis_rep,21.2,18,120.0,1.0,0.0,2011,461,0.48
2025-08-25,mis_rep,21.2,19,120.0,1.0,0.0,2004,367,0.44
2025-08-25,mis_rep,21.2,20,150.0,1.0,0.0,2007,417,0.96
2025-08-25,mis_rep,21.2,21,0.0,1.0,0.0,2008,439,-1.52
2025-08-25,mis_rep,21.2,22,60.0,1.0,0.0,2008,556,-0.39
2025-08-25,mis_rep,21.2,23,-150.0,1.0,0.0,2008,431,2.39
2025-08-25,mis_rep,21.2,24,90.0,1.0,0.0,2009,425,0.01
2025-08-25,mis_rep,21.2,25,60.0,1.0,0.0,2001,427,-0.48
2025-08-25,mis_rep,21.2,26,150.0,1.0,0.0,2005,468,1.13
2025-08-25,mis_rep,21.2,27,-150.0,1.0,0.0,2008,394,2.26
2025-08-25,mis_rep,21.2,28,30.0,1.0,0.0,2007,427,-0.86
2025-08-25,mis_rep,21.2,29,60.0,1.0,0.0,2010,392,-0.52
2025-08-25,mis_rep,21.2,30,30.0,1.0,0.0,2009,437,-0.9
2025-08-25,mis_rep,21.2,31,-30.0,1.0,0.0,2008,444,-2.25
2025-08-25,mis_rep,21.2,32,0.0,1.0,0.0,2006,393,-1.61
2025-08-25,mis_rep,21.2,33,150.0,1.0,0.0,2004,486,1.09
2025-08-25,mis_rep,21.2,34,30.0,1.0,0.0,2005,462,-1.02
2025-08-25,mis_rep,21.2,35,-120.0,1.0,0.0,2008,453,2.5
